82.240677
cost = 0.009155, w= 2.039061
cost = 0.008933, w= 2.038586
cost = 0.008718, w= 2.038117
cost = 0.008507, w= 2.037654
cost = 0.008301, w= 2.037196
cost = 0.008101, w= 2.036744
cost = 0.007905, w= 2.036297
cost = 0.007714, w= 2.035856
cost = 0.007527, w= 2.035419
cost = 0.007345, w= 2.034988
cost = 0.007167, w= 2.034562
cost = 0.006994, w= 2.034142
cost = 0.006825, w= 2.033726
cost = 0.006659, w= 2.033315
cost = 0.006498, w= 2.032910
cost = 0.006341, w= 2.032509
cost = 0.006187, w= 2.032113
cost = 0.006038, w= 2.031722
cost = 0.005891, w= 2.031335
cost = 0.005749, w= 2.030953
cost = 0.005609, w= 2.030576
cost = 0.005473, w= 2.030203
cost = 0.005341, w= 2.029834
cost = 0.005211, w= 2.029470
cost = 0.005085, w= 2.029111
cost = 0.004961, w= 2.028755
cost = 0.004841, w= 2.028404
cost = 0.004723, w= 2.028058
cost = 0.004609, w= 2.027715
cost = 0.004497, w= 2.027376
cost = 0.004388, w= 2.027042
cost = 0.004281, w= 2.026711
cost = 0.004177, w= 2.026385
cost = 0.004076, w= 2.026062
cost = 0.003976, w= 2.025744
cost = 0.003880, w= 2.025429
cost = 0.003785, w= 2.025118
cost = 0.003693, w= 2.024810
cost = 0.003603, w= 2.024507
cost = 0.003516, w= 2.024206
cost = 0.003430, w= 2.023910
cost = 0.003347, w= 2.023617
cost = 0.003265, w= 2.023328
cost = 0.003186, w= 2.023042
cost = 0.003108, w= 2.022759
cost = 0.003032, w= 2.022480
cost = 0.002958, w= 2.022204
cost = 0.002886, w= 2.021932
cost = 0.002816, w= 2.021662
cost = 0.002747, w= 2.021397
cost = 0.002680, w= 2.021134
cost = 0.002614, w= 2.020874
cost = 0.002551, w= 2.020618
cost = 0.002488, w= 2.020364
cost = 0.002427, w= 2.020114
cost = 0.002368, w= 2.019867
cost = 0.002310, w= 2.019622
cost = 0.002254, w= 2.019381
cost = 0.002199, w= 2.019142
cost = 0.002145, w= 2.018906
cost = 0.002092, w= 2.018673
cost = 0.002041, w= 2.018443
cost = 0.001991, w= 2.018216
cost = 0.001942, w= 2.017992
cost = 0.001895, w= 2.017770
cost = 0.001848, w= 2.017550
cost = 0.001803, w= 2.017334
cost = 0.001758, w= 2.017120
cost = 0.001715, w= 2.016908
cost = 0.001673, w= 2.016699
cost = 0.001632, w= 2.016493
cost = 0.001592, w= 2.016289
cost = 0.001553, w= 2.016088
cost = 0.001515, w= 2.015888
cost = 0.001477, w= 2.015692
cost = 0.001441, w= 2.015497
cost = 0.001406, w= 2.015306
cost = 0.001371, w= 2.015116
cost = 0.001337, w= 2.014929
cost = 0.001304, w= 2.014743
cost = 0.001272, w= 2.014560
cost = 0.001241, w= 2.014380
cost = 0.001210, w= 2.014201
cost = 0.001180, w= 2.014025
cost = 0.001151, w= 2.013850
cost = 0.001123, w= 2.013678
cost = 0.001095, w= 2.013508
cost = 0.001068, w= 2.013340
cost = 0.001041, w= 2.013174
cost = 0.001016, w= 2.013010
cost = 0.000990, w= 2.012848
cost = 0.000966, w= 2.012687
cost = 0.000942, w= 2.012529
cost = 0.000919, w= 2.012373
cost = 0.000896, w= 2.012218
cost = 0.000873, w= 2.012066
cost = 0.000852, w= 2.011915
cost = 0.000831, w= 2.011766
cost = 0.000810, w= 2.011619
cost = 0.000790, w= 2.011473
cost = 0.000770, w= 2.011330
cost = 0.000751, w= 2.011188
cost = 0.000732, w= 2.011048
cost = 0.000714, w= 2.010909
cost = 0.000696, w= 2.010772
cost = 0.000679, w= 2.010637
cost = 0.000662, w= 2.010503
cost = 0.000645, w= 2.010371
cost = 0.000629, w= 2.010241
cost = 0.000613, w= 2.010112
cost = 0.000598, w= 2.009984
cost = 0.000583, w= 2.009859
